owner_occupancy_key,owner_occupancy_name
568,Owner-occupied as a principal dwelling
569,Owner-occupied as a principal dwelling
570,Not owner-occupied as a principal dwelling
571,Owner-occupied as a principal dwelling
572,Owner-occupied as a principal dwelling
573,Owner-occupied as a principal dwelling
574,Owner-occupied as a principal dwelling
575,Owner-occupied as a principal dwelling
576,Owner-occupied as a principal dwelling
577,Owner-occupied as a principal dwelling
578,Owner-occupied as a principal dwelling
579,Owner-occupied as a principal dwelling
580,Owner-occupied as a principal dwelling
581,Owner-occupied as a principal dwelling
582,Owner-occupied as a principal dwelling
583,Not owner-occupied as a principal dwelling
584,Owner-occupied as a principal dwelling
585,Not owner-occupied as a principal dwelling
586,Owner-occupied as a principal dwelling
587,Owner-occupied as a principal dwelling
588,Owner-occupied as a principal dwelling
589,Owner-occupied as a principal dwelling
590,Owner-occupied as a principal dwelling
591,Owner-occupied as a principal dwelling
592,Owner-occupied as a principal dwelling
593,Owner-occupied as a principal dwelling
594,Owner-occupied as a principal dwelling
595,Owner-occupied as a principal dwelling
596,Owner-occupied as a principal dwelling
597,Owner-occupied as a principal dwelling
598,Owner-occupied as a principal dwelling
599,Owner-occupied as a principal dwelling
600,Owner-occupied as a principal dwelling
601,Owner-occupied as a principal dwelling
602,Owner-occupied as a principal dwelling
603,Not owner-occupied as a principal dwelling
604,Owner-occupied as a principal dwelling
605,Owner-occupied as a principal dwelling
606,Owner-occupied as a principal dwelling
607,Owner-occupied as a principal dwelling
608,Not owner-occupied as a principal dwelling
609,Not owner-occupied as a principal dwelling
610,Owner-occupied as a principal dwelling
611,Owner-occupied as a principal dwelling
612,Owner-occupied as a principal dwelling
613,Owner-occupied as a principal dwelling
614,Owner-occupied as a principal dwelling
615,Owner-occupied as a principal dwelling
616,Owner-occupied as a principal dwelling
617,Owner-occupied as a principal dwelling
618,Owner-occupied as a principal dwelling
619,Owner-occupied as a principal dwelling
620,Owner-occupied as a principal dwelling
621,Owner-occupied as a principal dwelling
622,Owner-occupied as a principal dwelling
623,Owner-occupied as a principal dwelling
624,Owner-occupied as a principal dwelling
625,Owner-occupied as a principal dwelling
626,Owner-occupied as a principal dwelling
627,Owner-occupied as a principal dwelling
628,Owner-occupied as a principal dwelling
629,Owner-occupied as a principal dwelling
630,Owner-occupied as a principal dwelling
631,Owner-occupied as a principal dwelling
632,Owner-occupied as a principal dwelling
633,Owner-occupied as a principal dwelling
634,Owner-occupied as a principal dwelling
635,Owner-occupied as a principal dwelling
636,Owner-occupied as a principal dwelling
637,Owner-occupied as a principal dwelling
638,Owner-occupied as a principal dwelling
639,Owner-occupied as a principal dwelling
640,Owner-occupied as a principal dwelling
641,Owner-occupied as a principal dwelling
642,Owner-occupied as a principal dwelling
643,Owner-occupied as a principal dwelling
644,Owner-occupied as a principal dwelling
645,Owner-occupied as a principal dwelling
646,Owner-occupied as a principal dwelling
647,Not owner-occupied as a principal dwelling
648,Owner-occupied as a principal dwelling
649,Owner-occupied as a principal dwelling
650,Not owner-occupied as a principal dwelling
651,Owner-occupied as a principal dwelling
652,Owner-occupied as a principal dwelling
653,Not owner-occupied as a principal dwelling
654,Owner-occupied as a principal dwelling
655,Owner-occupied as a principal dwelling
656,Owner-occupied as a principal dwelling
657,Owner-occupied as a principal dwelling
658,Owner-occupied as a principal dwelling
659,Owner-occupied as a principal dwelling
660,Owner-occupied as a principal dwelling
661,Owner-occupied as a principal dwelling
662,Owner-occupied as a principal dwelling
663,Owner-occupied as a principal dwelling
664,Owner-occupied as a principal dwelling
665,Owner-occupied as a principal dwelling
666,Owner-occupied as a principal dwelling
